Year,AdminCity,City,Population,Male,Female,Latitude,Longitude
2011,Varna,Provadia,13049,6423,6626,43.1833,27.4333
2011,Varna,Suvorovo,4567,2280,2287,43.33,27.6
2011,Veliko Tarnovo,Byala Cherkva,1868,891,977,43.15,25.3
2011,Veliko Tarnovo,Veliko Tarnovo,68735,32666,36069,43.0833,25.65
2011,Veliko Tarnovo,Gorna Oryahovitsa,31437,15175,16262,43.1278,25.7019
2011,Veliko Tarnovo,Debelets,3986,1948,2038,43.0333,25.6167
2011,Veliko Tarnovo,Dolna Oryahovitsa,2932,1448,1484,43.1167,25.7833
2011,Veliko Tarnovo,Elena,5532,2655,2877,42.9333,25.8833
2011,Veliko Tarnovo,Zlataritsa,2163,1071,1092,43.05,25.9
2011,Veliko Tarnovo,Kilifarevo,2234,1082,1152,42.9833,25.6333
2011,Veliko Tarnovo,Lyaskovets,8179,3924,4255,43.1111,25.7261
2011,Veliko Tarnovo,Pavlikeni,10488,5128,5360,43.2428,25.3219
2011,Veliko Tarnovo,Polski Trambesh,4298,2161,2137,43.3667,25.65
2011,Veliko Tarnovo,Svishtov,29846,14117,15729,43.6239,25.3531
2011,Veliko Tarnovo,Strazhitsa,4394,2186,2208,43.2333,25.9667
2011,Veliko Tarnovo,Suhindol,1800,870,930,43.1833,25.2
2011,Vidin,Belogradchik,5140,2549,2591,43.6278,22.6833
2011,Vidin,Bregovo,2497,1197,1300,44.15,22.65
2011,Vidin,Vidin,47382,23099,24283,43.99,22.8725
2011,Vidin,Gramada,1433,713,720,43.8742,22.6783
2011,Vidin,Dimovo,1193,605,588,43.7417,22.7283
2011,Vidin,Dunavtsi,2251,1113,1138,44.0,22.8667
2011,Vidin,Kula,3158,1533,1625,43.89,22.5217
2011,Vratsa,Byala Slatina,11050,5371,5679,43.4667,23.9333
2011,Vratsa,Vratsa,59700,29276,30424,43.21,23.5625
2011,Vratsa,Kozloduy,12856,6395,6461,43.7833,23.7333
2011,Vratsa,Krivodol,3084,1523,1561,43.3683,23.4936
2011,Vratsa,Mezdra,10789,5207,5582,43.15,23.7
2011,Vratsa,Mizia,3214,1595,1619,43.6867,23.8458
2011,Vratsa,Oryahovo,5006,2449,2557,43.7358,23.9619
2011,Vratsa,Roman,2807,1391,1416,43.1369,24.125
2011,Gabrovo,Gabrovo,58367,28143,30224,42.8747,25.3186
2011,Gabrovo,Dryanovo,7326,3516,3810,42.9747,25.4781
2011,Gabrovo,Plachkovtsi,1771,885,886,42.8333,25.4333
2011,Gabrovo,Sevlievo,22516,10925,11591,43.0275,25.1125
2011,Gabrovo,Tryavna,9313,4452,4861,42.8672,25.5008
2011,Dobrich,Balchik,11593,5772,5821,43.4072,28.1672
2011,Dobrich,General Toshevo,6840,3377,3463,43.7,28.0333
2011,Dobrich,Dobrich,90375,43694,46681,43.5667,27.8333
2011,Dobrich,Kavarna,11481,5585,5896,43.4358,28.3386
2011,Dobrich,Tervel,5989,2941,3048,43.7472,27.41
2011,Dobrich,Shabla,3390,1686,1704,43.535,28.5339
2011,Kardzhali,Ardino,3457,1716,1741,41.5833,25.1333
2011,Kardzhali,Dzhebel,3099,1547,1552,41.4933,25.305
2011,Kardzhali,Krumovgrad,5019,2433,2586,41.4667,25.65
2011,Kardzhali,Kardzhali,43785,21053,22732,41.65,25.3667
2011,Kardzhali,Momchilgrad,7798,3870,3928,41.5258,25.4061
2011,Kyustendil,Bobovdol,5703,3077,2626,42.3522,23.0333
